Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction,AdjFactor,Open_adj,Close_adj,Low_adj,High_adj
2020-05-04,25442221,500990540,19.7,19.85,19.5,19.65,-0.45,7841,0.6858442579734669,13.5111,13.4768,13.374,13.614
2020-05-05,10380442,205417973,19.7,19.9,19.7,19.75,0.1,3047,0.6858442579734669,13.5111,13.5454,13.5111,13.6483
2020-05-06,13612374,268557770,19.75,19.85,19.6,19.7,-0.05,4053,0.6858442579734669,13.5454,13.5111,13.4425,13.614
2020-05-07,10902002,215757207,19.7,19.95,19.65,19.8,0.1,2763,0.6858442579734669,13.5111,13.5797,13.4768,13.6826
2020-05-08,11454203,228012326,19.95,20.0,19.8,19.85,0.05,2974,0.6858442579734669,13.6826,13.614,13.5797,13.7169
2020-05-11,15710611,316760417,20.0,20.3,20.0,20.1,0.25,4500,0.6858442579734669,13.7169,13.7855,13.7169,13.9226
2020-05-12,10982055,219897096,20.0,20.1,19.9,20.0,-0.1,3638,0.6858442579734669,13.7169,13.7169,13.6483,13.7855
2020-05-13,9120801,182823963,19.95,20.15,19.9,20.05,0.05,2683,0.6858442579734669,13.6826,13.7512,13.6483,13.8198
2020-05-14,11806337,236336336,20.05,20.1,19.95,20.05,0.0,4187,0.6858442579734669,13.7512,13.7512,13.6826,13.7855
2020-05-15,12497445,250277556,20.1,20.2,19.9,19.95,-0.1,3712,0.6858442579734669,13.7855,13.6826,13.6483,13.8541
2020-05-18,10506964,209693038,19.95,20.05,19.9,19.95,0.0,3045,0.6858442579734669,13.6826,13.6826,13.6483,13.7512
2020-05-19,11713279,235548193,20.2,20.3,20.0,20.1,0.15,2956,0.6858442579734669,13.8541,13.7855,13.7169,13.9226
2020-05-20,10281440,206287567,20.1,20.15,20.0,20.05,-0.05,3180,0.6858442579734669,13.7855,13.7512,13.7169,13.8198
2020-05-21,11821222,237641251,20.05,20.15,20.0,20.15,0.1,2957,0.6858442579734669,13.7512,13.8198,13.7169,13.8198
2020-05-22,14196597,283893685,20.1,20.1,19.95,20.0,-0.15,4744,0.6858442579734669,13.7855,13.7169,13.6826,13.7855
2020-05-25,10979070,219022432,20.05,20.1,19.85,20.0,0.0,3211,0.6858442579734669,13.7512,13.7169,13.614,13.7855
2020-05-26,12697032,256172202,20.1,20.25,20.05,20.15,0.15,3073,0.6858442579734669,13.7855,13.8198,13.7512,13.8883
2020-05-27,13051529,263942944,20.15,20.3,20.15,20.25,0.1,4301,0.6858442579734669,13.8198,13.8883,13.8198,13.9226
2020-05-28,13897841,281299300,20.3,20.35,20.1,20.25,0.0,3947,0.6858442579734669,13.9226,13.8883,13.7855,13.9569
